Date,Campaign Name,Total Unique Users,Total Visitors Completed,Impressions,Number of Clicks,Number of Conversions,Advertising Channel,Device Type,OS,Browser,Geographic Location,Start Time of Session,End Time of Session,Platform,Total Cost
2023-04-30,spring_campaign,1909,1498,1652,1638,488,Search Engine,Tablet,Android,Chrome,Edmonton,2023-04-30 11:36:39,2023-04-30 12:36:39,YouTube,792
2023-09-03,fall_campaign,1605,443,1314,239,6,Search Engine,Mobile,Android,Firefox,Quebec City,2023-09-03 03:53:42,2023-09-03 08:53:42,Google,737
2023-01-31,winter_campaign,602,524,2521,709,607,Search Engine,Tablet,Android,Chrome,Vancouver,2023-01-31 16:38:22,2023-01-31 20:38:22,Google,838
2023-02-23,winter_campaign,758,548,2351,1570,383,Email Marketing,Desktop,Windows,Safari,Toronto,2023-02-23 08:40:51,2023-02-23 12:40:51,Facebook,961
2023-12-04,winter_campaign,1356,1133,1548,1095,977,Email Marketing,Desktop,Windows,Firefox,Winnipeg,2023-12-04 19:38:02,2023-12-04 20:38:02,Google,688
2023-12-08,winter_campaign,892,692,3126,2699,2360,Search Engine,Desktop,iOS,Safari,Toronto,2023-12-08 21:32:58,2023-12-08 22:32:58,YouTube,693
2023-12-30,winter_campaign,1701,1442,2597,86,61,Email Marketing,Mobile,Android,Firefox,Winnipeg,2023-12-30 07:06:42,2023-12-30 08:06:42,Facebook,607
2023-07-02,summer_campaign,1581,1167,2317,1701,1242,Social Media,Mobile,Windows,Chrome,Winnipeg,2023-07-02 17:17:05,2023-07-02 20:17:05,Facebook,742
2023-10-16,fall_campaign,1026,606,2167,896,420,Email Marketing,Desktop,Windows,Safari,Montreal,2023-10-16 01:46:08,2023-10-16 04:46:08,Facebook,382
2023-06-13,summer_campaign,1548,991,3129,1259,716,Email Marketing,Mobile,iOS,Safari,Ottawa,2023-06-13 02:25:28,2023-06-13 05:25:28,Facebook,822
2023-06-22,summer_campaign,1863,1116,3460,200,106,Email Marketing,Desktop,iOS,Safari,Toronto,2023-06-22 01:43:03,2023-06-22 03:43:03,YouTube,316
2023-09-05,fall_campaign,1947,458,3076,957,115,Email Marketing,Desktop,Windows,Chrome,Montreal,2023-09-05 19:20:57,2023-09-05 23:20:57,YouTube,961
2023-05-02,spring_campaign,1036,437,4193,3847,2914,Search Engine,Tablet,Android,Safari,Quebec City,2023-05-02 08:17:01,2023-05-02 11:17:01,Facebook,730
2023-01-03,winter_campaign,1353,708,2589,111,22,Search Engine,Tablet,Windows,Firefox,Edmonton,2023-01-03 03:54:39,2023-01-03 08:54:39,YouTube,575
2023-10-12,fall_campaign,612,469,4991,2360,1925,Email Marketing,Tablet,Android,Safari,Quebec City,2023-10-12 22:32:58,2023-10-13 03:32:58,YouTube,481
2023-05-26,spring_campaign,625,455,2187,542,419,Social Media,Mobile,Windows,Safari,Winnipeg,2023-05-26 09:54:39,2023-05-26 14:54:39,YouTube,359
2023-10-04,fall_campaign,950,817,3740,2267,1668,Search Engine,Mobile,iOS,Safari,Edmonton,2023-10-04 01:43:43,2023-10-04 06:43:43,YouTube,420
2023-06-03,summer_campaign,1523,980,4531,3331,3184,Social Media,Tablet,iOS,Safari,Toronto,2023-06-03 20:02:17,2023-06-04 00:02:17,YouTube,343
2023-02-01,winter_campaign,817,792,1822,1686,1199,Search Engine,Mobile,Android,Chrome,Hamilton,2023-02-01 06:37:56,2023-02-01 11:37:56,YouTube,672
2023-01-30,winter_campaign,1958,1950,2398,766,720,Social Media,Mobile,iOS,Safari,Vancouver,2023-01-30 08:48:14,2023-01-30 12:48:14,Facebook,144
2023-07-17,summer_campaign,1514,880,2269,1625,153,Email Marketing,Desktop,Android,Safari,Vancouver,2023-07-17 09:04:42,2023-07-17 12:04:42,Google,686
2023-02-26,winter_campaign,579,440,1832,1248,148,Search Engine,Tablet,Windows,Chrome,Quebec City,2023-02-26 00:48:52,2023-02-26 04:48:52,YouTube,761
2023-05-21,spring_campaign,1273,1212,2768,1201,900,Search Engine,Tablet,Windows,Firefox,Edmonton,2023-05-21 00:45:25,2023-05-21 01:45:25,Google,468
2023-08-02,summer_campaign,1262,1064,3274,1493,591,Email Marketing,Desktop,Windows,Chrome,Ottawa,2023-08-02 09:53:37,2023-08-02 12:53:37,YouTube,804
2023-10-30,fall_campaign,511,466,3826,3190,2731,Email Marketing,Tablet,Windows,Chrome,London,2023-10-30 11:58:02,2023-10-30 14:58:02,Facebook,240
2023-03-25,spring_campaign,615,503,2235,138,67,Email Marketing,Mobile,iOS,Firefox,Calgary,2023-03-25 16:49:08,2023-03-25 17:49:08,Facebook,409
2023-09-15,fall_campaign,638,610,1455,59,41,Email Marketing,Tablet,Android,Firefox,Winnipeg,2023-09-15 07:13:00,2023-09-15 11:13:00,YouTube,892
2023-05-24,spring_campaign,810,810,2835,2779,1870,Social Media,Tablet,iOS,Firefox,Toronto,2023-05-24 22:04:14,2023-05-25 03:04:14,YouTube,129
2023-05-10,spring_campaign,668,580,3345,1990,51,Search Engine,Desktop,Windows,Safari,Vancouver,2023-05-10 22:02:37,2023-05-11 00:02:37,YouTube,206
2023-07-22,summer_campaign,1386,1157,2667,2100,126,Email Marketing,Mobile,iOS,Chrome,Calgary,2023-07-22 19:15:19,2023-07-22 21:15:19,YouTube,533
2023-03-17,spring_campaign,1203,1152,2443,464,253,Email Marketing,Desktop,Windows,Safari,Montreal,2023-03-17 06:48:44,2023-03-17 08:48:44,Google,834
2023-01-28,winter_campaign,678,496,2256,1106,1052,Email Marketing,Tablet,Windows,Chrome,Hamilton,2023-01-28 20:28:15,2023-01-28 23:28:15,Facebook,160
2023-12-26,winter_campaign,588,536,2226,501,440,Search Engine,Tablet,Android,Chrome,Hamilton,2023-12-26 01:17:57,2023-12-26 06:17:57,Google,607
2023-11-09,fall_campaign,611,501,3888,2469,1990,Social Media,Mobile,Android,Firefox,Edmonton,2023-11-09 16:15:48,2023-11-09 20:15:48,YouTube,443
2023-06-30,summer_campaign,1417,818,3132,1243,196,Email Marketing,Tablet,Android,Chrome,Quebec City,2023-06-30 21:41:05,2023-06-30 22:41:05,Google,243
2023-10-01,fall_campaign,1626,1170,1663,829,758,Search Engine,Tablet,iOS,Chrome,Winnipeg,2023-10-01 04:24:41,2023-10-01 05:24:41,Google,943
2023-04-17,spring_campaign,1561,591,2482,254,110,Email Marketing,Desktop,iOS,Safari,Toronto,2023-04-17 09:21:46,2023-04-17 13:21:46,Google,346
2023-08-06,summer_campaign,1536,506,4184,1562,859,Email Marketing,Mobile,iOS,Chrome,Winnipeg,2023-08-06 10:03:04,2023-08-06 14:03:04,Facebook,188
2023-08-20,summer_campaign,564,557,2471,2191,61,Social Media,Tablet,Windows,Firefox,Calgary,2023-08-20 06:25:10,2023-08-20 11:25:10,Google,800
2023-10-11,fall_campaign,1463,669,2634,1412,861,Search Engine,Desktop,Android,Chrome,London,2023-10-11 22:05:48,2023-10-12 03:05:48,Facebook,299
2023-11-14,fall_campaign,1931,1625,4308,2988,32,Search Engine,Mobile,Windows,Safari,Vancouver,2023-11-14 00:22:14,2023-11-14 01:22:14,Google,426
2023-12-02,winter_campaign,1352,919,3088,783,499,Social Media,Mobile,Android,Chrome,Toronto,2023-12-02 16:23:33,2023-12-02 17:23:33,Google,419
2023-12-06,winter_campaign,749,546,1034,361,91,Search Engine,Desktop,Android,Firefox,Montreal,2023-12-06 11:30:14,2023-12-06 16:30:14,Google,732
2023-01-19,winter_campaign,1312,603,3270,1325,90,Social Media,Mobile,Android,Firefox,Calgary,2023-01-19 16:56:07,2023-01-19 18:56:07,Google,971
2023-09-20,fall_campaign,1795,482,3209,2702,1371,Social Media,Desktop,iOS,Safari,Toronto,2023-09-20 23:27:01,2023-09-21 00:27:01,Google,664
2023-04-11,spring_campaign,952,712,2363,1118,888,Social Media,Tablet,Android,Chrome,Quebec City,2023-04-11 01:17:39,2023-04-11 06:17:39,YouTube,349
2023-07-12,summer_campaign,1426,878,1339,167,116,Social Media,Tablet,iOS,Firefox,Winnipeg,2023-07-12 21:03:50,2023-07-12 22:03:50,YouTube,598
2023-06-29,summer_campaign,565,522,2437,1859,1067,Search Engine,Tablet,Android,Firefox,Quebec City,2023-06-29 17:53:36,2023-06-29 22:53:36,YouTube,562
2023-02-23,winter_campaign,1662,1419,4163,1884,247,Social Media,Desktop,Windows,Firefox,Hamilton,2023-02-23 20:44:33,2023-02-23 21:44:33,Google,960
2023-06-04,summer_campaign,1301,1165,1776,333,90,Social Media,Tablet,Android,Safari,Toronto,2023-06-04 18:15:15,2023-06-04 19:15:15,Facebook,115
2023-09-25,fall_campaign,1000,619,3764,1274,721,Search Engine,Mobile,Windows,Firefox,Montreal,2023-09-25 08:24:57,2023-09-25 11:24:57,Facebook,801
2023-10-06,fall_campaign,1952,432,2583,1532,826,Search Engine,Tablet,iOS,Safari,Toronto,2023-10-06 02:23:18,2023-10-06 04:23:18,YouTube,139
2023-06-09,summer_campaign,554,491,3846,3769,1044,Email Marketing,Mobile,iOS,Firefox,Winnipeg,2023-06-09 18:47:49,2023-06-09 22:47:49,Google,350
2023-11-18,fall_campaign,622,526,1541,1360,984,Search Engine,Mobile,Windows,Firefox,Montreal,2023-11-18 19:46:54,2023-11-18 23:46:54,Google,479
2023-07-22,summer_campaign,1258,991,2124,577,472,Search Engine,Mobile,Android,Safari,Ottawa,2023-07-22 03:54:05,2023-07-22 08:54:05,YouTube,701
2023-08-18,summer_campaign,766,610,3454,3425,259,Search Engine,Desktop,Windows,Safari,Ottawa,2023-08-18 10:22:21,2023-08-18 13:22:21,Google,298
2023-10-19,fall_campaign,660,612,3449,1216,697,Search Engine,Mobile,iOS,Safari,Winnipeg,2023-10-19 11:51:29,2023-10-19 16:51:29,Facebook,675
2023-11-19,fall_campaign,1102,888,2106,113,20,Social Media,Mobile,iOS,Chrome,Toronto,2023-11-19 02:44:39,2023-11-19 03:44:39,Facebook,719
2023-01-04,winter_campaign,854,758,4665,3641,778,Email Marketing,Desktop,Windows,Safari,Calgary,2023-01-04 04:54:57,2023-01-04 05:54:57,YouTube,547
2023-09-03,fall_campaign,1656,941,2559,2451,1676,Search Engine,Mobile,iOS,Safari,Ottawa,2023-09-03 02:48:38,2023-09-03 04:48:38,YouTube,643
2024-01-01,winter_campaign,1744,1608,3862,2814,1571,Email Marketing,Mobile,iOS,Safari,Montreal,2024-01-01 08:58:39,2024-01-01 12:58:39,Facebook,501
2023-06-01,summer_campaign,1131,769,4636,4063,224,Social Media,Tablet,iOS,Firefox,Vancouver,2023-06-01 20:44:00,2023-06-01 22:44:00,Facebook,113
2023-01-03,winter_campaign,1951,1331,4814,4063,1511,Email Marketing,Mobile,iOS,Safari,Hamilton,2023-01-03 05:40:44,2023-01-03 06:40:44,YouTube,375
2023-11-23,fall_campaign,1169,912,2697,1833,1256,Social Media,Desktop,iOS,Safari,Ottawa,2023-11-23 23:31:36,2023-11-24 00:31:36,Facebook,550
2023-06-22,summer_campaign,1806,1653,3678,2887,732,Search Engine,Tablet,Android,Firefox,Montreal,2023-06-22 04:14:50,2023-06-22 06:14:50,YouTube,752
2023-12-29,winter_campaign,1808,1225,4315,2357,511,Email Marketing,Desktop,iOS,Chrome,Edmonton,2023-12-29 14:24:00,2023-12-29 15:24:00,Facebook,833
2023-12-16,winter_campaign,1191,812,3109,1433,1015,Search Engine,Desktop,Android,Safari,Quebec City,2023-12-16 13:28:54,2023-12-16 17:28:54,Google,408
2023-12-17,winter_campaign,1100,738,2233,884,569,Search Engine,Tablet,iOS,Firefox,Calgary,2023-12-17 00:47:22,2023-12-17 02:47:22,YouTube,292
2023-11-02,fall_campaign,1994,1650,3787,1564,1329,Email Marketing,Tablet,Windows,Firefox,Ottawa,2023-11-02 15:32:08,2023-11-02 19:32:08,Facebook,262
2023-10-24,fall_campaign,1203,663,3519,362,251,Email Marketing,Tablet,iOS,Firefox,Montreal,2023-10-24 18:56:36,2023-10-24 23:56:36,Facebook,290
2023-07-29,summer_campaign,1862,1767,4853,2737,1226,Search Engine,Tablet,iOS,Chrome,Quebec City,2023-07-29 01:39:28,2023-07-29 06:39:28,YouTube,528
2023-09-12,fall_campaign,1463,648,1024,420,81,Email Marketing,Mobile,Windows,Firefox,Calgary,2023-09-12 03:40:23,2023-09-12 04:40:23,Google,900
2023-06-08,summer_campaign,1810,1365,1035,482,261,Social Media,Tablet,Windows,Chrome,Montreal,2023-06-08 01:00:20,2023-06-08 03:00:20,Google,965
2023-05-15,spring_campaign,527,441,4624,3921,3794,Email Marketing,Mobile,Windows,Firefox,Vancouver,2023-05-15 07:36:37,2023-05-15 11:36:37,Facebook,648
2023-01-09,winter_campaign,830,447,1398,999,657,Search Engine,Tablet,iOS,Chrome,Calgary,2023-01-09 19:31:05,2023-01-09 20:31:05,Facebook,903
2023-02-06,winter_campaign,1484,1321,4688,4230,3147,Search Engine,Tablet,Android,Firefox,Ottawa,2023-02-06 05:10:16,2023-02-06 06:10:16,Facebook,610
2023-08-05,summer_campaign,1808,1578,4980,3525,1991,Search Engine,Tablet,Windows,Safari,London,2023-08-05 10:19:53,2023-08-05 12:19:53,Facebook,237
2023-01-05,winter_campaign,937,481,3102,1988,1864,Email Marketing,Mobile,Android,Firefox,Edmonton,2023-01-05 04:46:06,2023-01-05 05:46:06,YouTube,180
2023-12-03,winter_campaign,620,467,1858,1113,1075,Social Media,Desktop,Windows,Safari,London,2023-12-03 06:22:09,2023-12-03 10:22:09,YouTube,901
2023-09-27,fall_campaign,750,600,1220,402,232,Search Engine,Mobile,iOS,Firefox,Vancouver,2023-09-27 19:35:09,2023-09-27 21:35:09,Google,808
2023-11-14,fall_campaign,1720,1413,3916,2565,2013,Email Marketing,Tablet,Windows,Safari,Winnipeg,2023-11-14 02:06:21,2023-11-14 05:06:21,YouTube,509
2023-01-12,winter_campaign,987,590,2176,1191,746,Email Marketing,Desktop,iOS,Chrome,Quebec City,2023-01-12 17:02:10,2023-01-12 20:02:10,YouTube,899
2023-02-16,winter_campaign,1485,1064,2836,304,167,Search Engine,Desktop,iOS,Firefox,Hamilton,2023-02-16 08:11:00,2023-02-16 13:11:00,Facebook,177
2023-10-29,fall_campaign,538,503,1471,454,417,Search Engine,Desktop,Android,Firefox,Hamilton,2023-10-29 22:42:55,2023-10-30 02:42:55,YouTube,567
2023-12-10,winter_campaign,975,737,1253,1168,882,Social Media,Tablet,Windows,Firefox,Edmonton,2023-12-10 11:23:12,2023-12-10 15:23:12,YouTube,303
2023-11-27,fall_campaign,1178,696,1024,522,46,Email Marketing,Mobile,iOS,Firefox,Edmonton,2023-11-27 14:03:48,2023-11-27 15:03:48,Facebook,681
2023-06-03,summer_campaign,1049,977,3537,2093,231,Email Marketing,Desktop,Windows,Firefox,Ottawa,2023-06-03 02:57:10,2023-06-03 07:57:10,Facebook,579
2023-11-10,fall_campaign,1536,1074,3447,2200,1136,Email Marketing,Mobile,Android,Firefox,Edmonton,2023-11-10 01:19:47,2023-11-10 05:19:47,Facebook,182
2023-04-18,spring_campaign,1984,743,1242,537,536,Email Marketing,Desktop,Windows,Safari,Quebec City,2023-04-18 05:18:26,2023-04-18 06:18:26,Google,643
2023-11-20,fall_campaign,1379,891,2340,1336,47,Email Marketing,Desktop,iOS,Firefox,Edmonton,2023-11-20 02:11:18,2023-11-20 03:11:18,Google,750
2023-06-28,summer_campaign,519,476,3594,3208,40,Social Media,Mobile,iOS,Chrome,Calgary,2023-06-28 19:09:56,2023-06-29 00:09:56,YouTube,435
2023-11-04,fall_campaign,1294,1138,1896,106,69,Social Media,Mobile,Android,Safari,Calgary,2023-11-04 06:17:01,2023-11-04 09:17:01,YouTube,812
2023-02-20,winter_campaign,1360,945,3284,1438,21,Social Media,Mobile,iOS,Firefox,London,2023-02-20 08:38:21,2023-02-20 11:38:21,Facebook,503
2023-10-17,fall_campaign,1829,1774,3411,1185,839,Social Media,Desktop,Windows,Safari,Ottawa,2023-10-17 17:33:19,2023-10-17 19:33:19,Facebook,939
2023-10-29,fall_campaign,938,413,1905,1801,1537,Email Marketing,Mobile,Windows,Chrome,Quebec City,2023-10-29 07:35:46,2023-10-29 12:35:46,YouTube,106
2023-04-04,spring_campaign,1489,1263,2501,1696,396,Email Marketing,Desktop,Windows,Firefox,Calgary,2023-04-04 09:05:22,2023-04-04 11:05:22,Google,983
2023-04-07,spring_campaign,1347,945,1715,823,264,Search Engine,Desktop,iOS,Safari,Winnipeg,2023-04-07 02:49:53,2023-04-07 06:49:53,Google,675
2023-10-15,fall_campaign,1606,1077,3600,2450,214,Search Engine,Desktop,iOS,Firefox,Ottawa,2023-10-15 04:19:54,2023-10-15 09:19:54,Google,418
2023-09-19,fall_campaign,1537,492,1623,1357,639,Email Marketing,Desktop,Android,Chrome,Toronto,2023-09-19 07:23:50,2023-09-19 10:23:50,YouTube,744
2023-04-15,spring_campaign,1270,420,2832,2004,1413,Search Engine,Desktop,iOS,Chrome,Winnipeg,2023-04-15 02:25:11,2023-04-15 03:25:11,Google,623
2023-02-21,winter_campaign,1592,1143,1388,192,152,Search Engine,Tablet,Windows,Chrome,Hamilton,2023-02-21 20:51:38,2023-02-21 23:51:38,YouTube,576
2023-08-18,summer_campaign,1919,671,4990,1897,1378,Email Marketing,Tablet,iOS,Firefox,Montreal,2023-08-18 09:41:11,2023-08-18 10:41:11,Google,914
2023-07-10,summer_campaign,1811,441,3357,225,173,Email Marketing,Tablet,iOS,Firefox,Quebec City,2023-07-10 18:23:29,2023-07-10 19:23:29,YouTube,259
2023-05-24,spring_campaign,586,540,1272,877,784,Social Media,Tablet,Windows,Chrome,Winnipeg,2023-05-24 23:35:37,2023-05-25 02:35:37,Facebook,621
2023-07-19,summer_campaign,1606,994,3266,1013,773,Email Marketing,Desktop,Windows,Safari,Ottawa,2023-07-19 08:29:46,2023-07-19 10:29:46,Facebook,428
2023-03-25,spring_campaign,846,838,1936,163,138,Email Marketing,Tablet,iOS,Chrome,Toronto,2023-03-25 21:07:13,2023-03-26 02:07:13,Facebook,624
2023-12-09,winter_campaign,1846,718,4916,3666,1035,Email Marketing,Mobile,Windows,Chrome,Hamilton,2023-12-09 19:44:49,2023-12-09 23:44:49,YouTube,551
2023-04-26,spring_campaign,1637,1092,1198,515,138,Search Engine,Mobile,iOS,Safari,Ottawa,2023-04-26 12:22:42,2023-04-26 15:22:42,Google,260
2023-10-04,fall_campaign,810,722,3818,2671,1401,Search Engine,Mobile,Android,Chrome,London,2023-10-04 22:48:51,2023-10-04 23:48:51,Facebook,234
2023-06-06,summer_campaign,1249,1205,1233,823,544,Search Engine,Desktop,Windows,Safari,Montreal,2023-06-06 17:37:16,2023-06-06 20:37:16,Google,154
2023-02-09,winter_campaign,623,408,4019,176,170,Search Engine,Desktop,iOS,Safari,London,2023-02-09 11:02:39,2023-02-09 14:02:39,YouTube,832
2023-12-06,winter_campaign,1509,837,1684,511,446,Email Marketing,Desktop,Windows,Chrome,Edmonton,2023-12-06 17:29:29,2023-12-06 18:29:29,Google,662
2023-12-17,winter_campaign,1298,1286,4974,3386,546,Social Media,Mobile,Windows,Chrome,London,2023-12-17 20:18:14,2023-12-17 21:18:14,YouTube,327
2023-10-23,fall_campaign,1749,429,3978,763,327,Social Media,Desktop,Android,Firefox,Edmonton,2023-10-23 16:55:45,2023-10-23 19:55:45,Google,531
2023-12-10,winter_campaign,852,710,1655,564,351,Email Marketing,Mobile,iOS,Safari,Winnipeg,2023-12-10 13:13:27,2023-12-10 16:13:27,YouTube,804
2023-08-17,summer_campaign,1151,651,3670,3225,3154,Email Marketing,Mobile,Android,Chrome,Hamilton,2023-08-17 14:39:07,2023-08-17 18:39:07,Google,757
2023-09-25,fall_campaign,836,655,2805,650,265,Email Marketing,Tablet,iOS,Safari,Toronto,2023-09-25 04:53:39,2023-09-25 09:53:39,YouTube,168
2023-06-04,summer_campaign,1645,890,4678,355,144,Email Marketing,Desktop,iOS,Firefox,Ottawa,2023-06-04 01:54:56,2023-06-04 04:54:56,YouTube,758
2023-10-09,fall_campaign,1806,515,3413,1348,945,Social Media,Desktop,Android,Firefox,Vancouver,2023-10-09 15:25:48,2023-10-09 18:25:48,Google,643
2023-11-18,fall_campaign,1708,1126,1625,210,103,Social Media,Desktop,Windows,Safari,Calgary,2023-11-18 02:24:28,2023-11-18 06:24:28,Google,573
2023-07-06,summer_campaign,1476,421,1514,1214,912,Social Media,Desktop,Windows,Safari,Edmonton,2023-07-06 19:42:52,2023-07-06 21:42:52,Google,396
2023-02-28,winter_campaign,1733,1410,4474,2607,1092,Search Engine,Mobile,Android,Chrome,Calgary,2023-02-28 03:56:20,2023-02-28 07:56:20,Google,759
2023-01-07,winter_campaign,1826,1652,4041,374,51,Email Marketing,Mobile,Android,Chrome,Quebec City,2023-01-07 02:43:37,2023-01-07 03:43:37,YouTube,750
2023-03-15,spring_campaign,850,701,1906,160,77,Email Marketing,Mobile,Android,Chrome,Ottawa,2023-03-15 21:45:56,2023-03-15 23:45:56,Facebook,968
2023-08-02,summer_campaign,656,403,3255,1822,564,Social Media,Mobile,iOS,Chrome,Calgary,2023-08-02 05:28:56,2023-08-02 08:28:56,YouTube,119
2023-07-30,summer_campaign,856,663,4512,3255,2921,Social Media,Tablet,Windows,Chrome,London,2023-07-30 13:14:06,2023-07-30 15:14:06,Facebook,331
2023-07-18,summer_campaign,837,495,2891,1909,1357,Social Media,Mobile,iOS,Chrome,Edmonton,2023-07-18 12:17:56,2023-07-18 17:17:56,Facebook,370
2023-06-19,summer_campaign,1688,1404,3084,598,411,Search Engine,Mobile,Android,Chrome,London,2023-06-19 11:48:10,2023-06-19 13:48:10,Facebook,923
2023-10-08,fall_campaign,1915,1097,3492,2138,508,Social Media,Mobile,iOS,Safari,Quebec City,2023-10-08 02:26:35,2023-10-08 07:26:35,YouTube,508
2023-12-08,winter_campaign,1395,739,1608,1042,56,Email Marketing,Tablet,iOS,Chrome,Vancouver,2023-12-08 12:44:22,2023-12-08 14:44:22,YouTube,638
2023-01-18,winter_campaign,731,711,1733,365,188,Search Engine,Desktop,Windows,Firefox,Vancouver,2023-01-18 23:55:54,2023-01-19 04:55:54,Google,805
2023-06-27,summer_campaign,709,557,1821,1329,422,Search Engine,Mobile,iOS,Firefox,Edmonton,2023-06-27 14:32:24,2023-06-27 19:32:24,Facebook,145
2023-07-05,summer_campaign,1035,761,2484,73,42,Social Media,Mobile,Windows,Firefox,Calgary,2023-07-05 08:26:30,2023-07-05 12:26:30,Facebook,846
2023-10-14,fall_campaign,1072,556,4380,3459,1685,Social Media,Desktop,Windows,Safari,Toronto,2023-10-14 11:52:36,2023-10-14 15:52:36,Facebook,740
2023-01-24,winter_campaign,1032,868,2455,617,236,Social Media,Desktop,iOS,Safari,Winnipeg,2023-01-24 15:42:54,2023-01-24 20:42:54,Google,932
2023-08-25,summer_campaign,1017,935,4993,2838,1288,Search Engine,Tablet,Android,Safari,Ottawa,2023-08-25 09:27:47,2023-08-25 10:27:47,Facebook,289
2023-01-09,winter_campaign,1526,1506,3333,3221,2141,Search Engine,Mobile,iOS,Chrome,Toronto,2023-01-09 17:04:55,2023-01-09 18:04:55,Google,375
2023-09-27,fall_campaign,1287,546,2398,716,572,Search Engine,Mobile,Windows,Chrome,Edmonton,2023-09-27 16:11:22,2023-09-27 17:11:22,YouTube,433
2023-12-21,winter_campaign,1394,813,3396,234,20,Email Marketing,Tablet,Windows,Safari,Montreal,2023-12-21 16:40:28,2023-12-21 21:40:28,Google,612
2023-01-25,winter_campaign,604,596,1838,374,64,Social Media,Desktop,Windows,Chrome,Edmonton,2023-01-25 10:26:28,2023-01-25 15:26:28,Facebook,735
2023-05-27,spring_campaign,1292,898,1390,782,696,Social Media,Tablet,iOS,Chrome,Hamilton,2023-05-27 08:46:51,2023-05-27 09:46:51,YouTube,990
2023-12-31,winter_campaign,581,427,4107,1896,1428,Social Media,Mobile,Windows,Safari,Calgary,2023-12-31 09:38:19,2023-12-31 11:38:19,YouTube,885
2023-12-15,winter_campaign,1605,918,1336,1226,1013,Search Engine,Mobile,Windows,Chrome,London,2023-12-15 00:14:44,2023-12-15 03:14:44,YouTube,843
2023-02-14,winter_campaign,692,522,2603,1315,154,Email Marketing,Mobile,Android,Firefox,Winnipeg,2023-02-14 00:53:39,2023-02-14 02:53:39,YouTube,585
2023-03-13,spring_campaign,1477,987,1244,1126,125,Email Marketing,Mobile,Android,Firefox,Montreal,2023-03-13 04:56:11,2023-03-13 09:56:11,YouTube,998
2023-10-16,fall_campaign,917,862,4944,198,108,Search Engine,Tablet,Windows,Firefox,Toronto,2023-10-16 12:02:15,2023-10-16 14:02:15,YouTube,370
2023-09-05,fall_campaign,1976,1135,3614,1562,749,Social Media,Mobile,Android,Chrome,Ottawa,2023-09-05 01:16:20,2023-09-05 02:16:20,YouTube,118
2023-10-30,fall_campaign,676,551,1995,131,115,Email Marketing,Tablet,iOS,Chrome,Winnipeg,2023-10-30 23:45:16,2023-10-31 01:45:16,YouTube,178
2023-10-09,fall_campaign,624,499,4132,2480,333,Email Marketing,Tablet,Android,Safari,Calgary,2023-10-09 19:28:47,2023-10-09 23:28:47,YouTube,246
2023-10-01,fall_campaign,1689,741,4636,294,176,Search Engine,Mobile,Windows,Firefox,Calgary,2023-10-01 05:22:24,2023-10-01 10:22:24,YouTube,388
2023-12-09,winter_campaign,905,677,1674,706,30,Social Media,Tablet,Android,Safari,Vancouver,2023-12-09 07:02:34,2023-12-09 08:02:34,Google,313
2023-12-05,winter_campaign,1119,620,1322,1221,479,Social Media,Desktop,iOS,Chrome,Hamilton,2023-12-05 03:32:31,2023-12-05 08:32:31,YouTube,560
2023-04-19,spring_campaign,1799,607,3209,2120,37,Social Media,Mobile,Android,Firefox,Vancouver,2023-04-19 10:02:25,2023-04-19 11:02:25,Google,506
2023-01-15,winter_campaign,1465,1323,2389,875,236,Search Engine,Desktop,Windows,Firefox,Edmonton,2023-01-15 01:26:08,2023-01-15 05:26:08,Google,855
2023-03-17,spring_campaign,1436,744,1999,1297,534,Search Engine,Mobile,Windows,Chrome,Vancouver,2023-03-17 11:12:41,2023-03-17 14:12:41,Google,565
2023-04-01,spring_campaign,902,446,3490,1407,47,Social Media,Tablet,Android,Safari,Winnipeg,2023-04-01 06:49:10,2023-04-01 07:49:10,Facebook,579
2023-03-08,spring_campaign,935,833,2265,1094,149,Search Engine,Desktop,iOS,Firefox,Quebec City,2023-03-08 22:16:21,2023-03-09 00:16:21,Facebook,162
2023-05-24,spring_campaign,818,722,3512,2074,1029,Social Media,Tablet,Android,Safari,Montreal,2023-05-24 01:31:09,2023-05-24 04:31:09,Google,441
2023-12-06,winter_campaign,991,856,1327,664,350,Search Engine,Desktop,Android,Chrome,Quebec City,2023-12-06 02:20:11,2023-12-06 05:20:11,YouTube,946
2023-12-06,winter_campaign,623,509,2061,859,558,Email Marketing,Desktop,Windows,Chrome,Calgary,2023-12-06 03:35:46,2023-12-06 06:35:46,YouTube,576
2023-08-20,summer_campaign,1307,792,4395,571,124,Social Media,Desktop,Android,Safari,Ottawa,2023-08-20 11:47:28,2023-08-20 12:47:28,YouTube,324
2023-08-20,summer_campaign,1791,1437,4418,780,221,Social Media,Mobile,Android,Chrome,Ottawa,2023-08-20 03:33:09,2023-08-20 06:33:09,Facebook,919
2023-10-01,fall_campaign,1573,916,4790,3763,671,Social Media,Desktop,Windows,Firefox,Toronto,2023-10-01 12:25:12,2023-10-01 15:25:12,Google,564
2023-03-28,spring_campaign,501,408,2740,925,601,Search Engine,Mobile,Android,Safari,Quebec City,2023-03-28 08:01:08,2023-03-28 09:01:08,Facebook,346
2023-07-01,summer_campaign,1412,501,1936,1898,1327,Social Media,Mobile,iOS,Chrome,Toronto,2023-07-01 08:38:09,2023-07-01 12:38:09,Facebook,819
